Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 1.200 0.020 1.600    21.6276     0.2578     9.0000    17.0000    29.0000   229.0000     0.0000
 1.200 0.020 1.500    21.8338     0.2608     9.0000    17.0000    29.0000   188.0000     0.0000
 1.200 0.020 1.400    21.8050     0.2629     9.0000    17.0000    29.0000   201.0000     0.0000
 1.200 0.020 1.300    22.3676     0.2773     9.0000    17.0000    29.0000   189.0000     0.0000
 1.200 0.020 1.200    21.7236     0.2724     9.0000    16.0000    29.0000   304.0000     0.0000
 1.200 0.020 1.100    22.5056     0.2888     9.0000    17.0000    29.0000   240.0000     0.0000
 1.200 0.020 1.000    23.2530     0.3156     9.0000    17.0000    30.0000   313.0000     0.0000
 1.200 0.020 0.900    22.9334     0.3236     9.0000    17.0000    30.0000   531.0000     0.0000
 1.200 0.020 0.800    24.5798     0.3679     9.0000    17.0000    31.0000   525.0000     0.0000
 1.200 0.020 0.700    25.3062     0.4233     9.0000    17.0000    31.0000   619.0000     0.0000
 1.200 0.020 0.600    26.4740     0.4628    10.0000    18.0000    32.0000   731.0000     0.0000
 1.200 0.020 0.500    28.5866     0.5597    10.0000    18.0000    33.0000   740.0000     0.0000
 1.200 0.020 0.400    31.1072     0.7278    10.0000    19.0000    35.0000   877.0000     0.0000
 1.200 0.020 0.300    34.9346     0.8017    10.0000    20.0000    37.0000  1059.0000     0.0000
 1.200 0.020 0.200    39.6676     0.9138    11.0000    21.0000    41.0000   975.0000     0.0000
 1.200 0.020 0.100    53.1084     1.2689    12.0000    25.0000    53.0000  1262.0000     0.0000
 1.200 0.010 2.000    35.3988     0.4570    13.0000    26.0000    49.0000   329.0000     0.0000
 1.200 0.010 1.900    34.7508     0.4518    13.0000    25.0000    46.0000   331.0000     0.0000
 1.200 0.010 1.800    34.8778     0.4645    13.0000    26.0000    47.0000   327.0000     0.0000
 1.200 0.010 1.700    35.0468     0.4506    13.0000    26.0000    47.0000   296.0000     0.0000
 1.200 0.010 1.600    35.2454     0.4504    13.0000    26.0000    46.0000   300.0000     0.0000
